0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
32.3,32.45,31.64,32.05,20266400.0,78.39,79.05,78.24,79.05,3119400.0,137.28,137.86,135.12,136.03,893700.0,58.33,58.95,58.31,58.75,6091400.0,18.45,18.45,17.85,18.08,33900.0,100.6,101.45,100.215,101.45,3153800.0,171.765,173.96,166.88,171.17,2040700.0,12.07,12.28,11.97,12.23,10628500.0,77.57,79.14,77.36,77.79,704200.0,13.23,13.28,13.0,13.2,75274700.0,719.42,727.0,716.55,723.25,5077500.0,33.84,34.55,31.82,32.2,15843600.0,40.13,40.64,39.95,40.49,4523300.0,94.19,94.79,93.96,94.78,3206700.0,69.99,70.57,69.81,70.52,2238300.0,146.58,146.58,144.8,146.09,636300.0,60.3,60.45,59.67,59.92,2567800.0,54.59,55.0,54.26,55.0,6633800.0,160.19,160.73,158.46,159.8,1455000.0,23.83,24.41,23.67,24.19,2991400.0,54.88,55.0,54.01,54.54,5358100.0,25.76,25.78,25.47,25.65,18309132.0,44.49,44.51,43.84,44.27,16483900.0,35.03,35.07,34.74,35.05,30443000.0,87.79,88.72,87.24,88.71,16143700.0
32.9,33.38,32.74,33.27,22148200.0,78.37,78.47,76.8,77.12,4443700.0,136.37,137.44,135.922,136.78,461600.0,58.8,59.26,58.63,59.0,5017000.0,18.03,18.1,17.41,17.41,26000.0,102.11,103.02,101.76,102.49,3872400.0,170.07,172.54,168.12,168.71,1426900.0,12.14,12.609,12.12,12.58,16272400.0,77.47,78.51,77.42,78.35,599400.0,13.24,13.695,13.05,13.46,121284700.0,724.93,731.93,720.72,723.67,4631700.0,32.46,37.1,31.92,36.35,20145500.0,40.36,40.59,39.95,40.37,3994000.0,94.34,94.929,94.13,94.67,2704600.0,70.6,70.83,70.33,70.53,1227300.0,145.99,146.96,145.3,145.55,568600.0,59.11,59.2,58.21,58.48,2062600.0,55.07,55.61,55.0,55.37,7335200.0,160.16,160.52,158.02,158.52,1400300.0,23.95,25.17,23.92,24.93,6693900.0,53.44,53.52,51.85,51.99,14413200.0,25.45,25.52,25.28,25.32,15342067.0,44.36,44.42,43.79,44.06,11227700.0,34.98,35.04,34.61,34.76,25374800.0,88.46,88.89,88.16,88.55,13268200.0
33.33,33.43,32.85,33.07,15820100.0,77.28,77.41,76.61,77.05,2231800.0,136.78,137.12,136.232,136.37,496600.0,59.08,59.66,58.46,59.61,4017200.0,17.46,18.0,17.43,17.69,24200.0,102.55,102.91,101.55,102.16,1989000.0,168.66,170.39,168.067,169.61,824100.0,12.56,13.08,12.55,12.98,17125600.0,78.87,79.68,78.04,79.37,487600.0,13.51,13.61,13.35,13.57,54669900.0,729.34,741.47,727.6801,737.97,5521400.0,36.57,37.4,35.0,37.0,14287200.0,40.36,40.89,40.15,40.85,3318400.0,94.79,95.48,94.54,95.37,2704900.0,70.64,70.95,70.45,70.88,934800.0,145.41,146.41,145.174,146.22,444100.0,57.72,58.41,57.71,58.28,2754200.0,55.53,56.0,55.31,55.69,5455700.0,158.65,159.21,157.8,158.59,1330200.0,24.85,25.96,24.83,25.85,5184900.0,52.2,52.73,52.06,52.09,10458000.0,25.5,25.82,25.48,25.81,15502850.0,44.04,44.36,43.75,44.3,14930400.0,34.59,35.04,34.45,34.94,31420300.0,88.5,89.09,88.37,88.96,11427900.0
33.02,33.34,32.85,33.34,13120000.0,76.71,77.19,76.71,76.96,1764500.0,135.94,136.76,135.46,136.51,559500.0,59.28,59.99,59.28,59.86,3859400.0,17.53,17.8,17.0,17.45,31800.0,101.09,101.73,100.9,101.37,1663900.0,169.28,169.28,166.762,168.98,1046400.0,13.14,13.38,12.89,12.99,23137100.0,79.18,79.93,79.0,79.76,567900.0,13.52,13.58,13.35,13.43,43482400.0,735.45,739.38,730.58,734.75,3308000.0,36.83,37.86,35.56,36.57,8922000.0,40.57,40.93,40.47,40.79,2520000.0,95.02,95.73,94.76,95.49,2745800.0,70.85,70.94,70.38,70.5492,1394600.0,145.85,146.63,145.68,145.95,442300.0,57.37,57.87,57.31,57.7,2279600.0,55.4,55.79,55.01,55.7204,4360000.0,158.12,159.89,158.07,159.72,953800.0,25.72,26.11,25.33,25.67,5527400.0,51.884,52.33,51.55,52.09,7804500.0,25.79,26.679,25.67,26.54,35373068.0,44.25,44.87,44.01,44.69,20891300.0,34.91,34.97,34.47,34.77,28135100.0,88.31,88.49,87.57,87.93,11799800.0
33.29,33.56,33.08,33.35,15042300.0,76.98,77.45,76.84,77.27,2200000.0,136.36,137.08,135.56,136.09,519300.0,59.68,60.32,59.53,60.2,4960900.0,17.37,17.5,17.07,17.19,30300.0,101.0,101.79,100.73,101.18,2189900.0,169.35,170.7,167.5499,169.97,988400.0,13.05,13.26,12.87,12.98,16685700.0,79.56,80.05,78.94,79.57,451800.0,13.38,13.43,13.2,13.35,46336200.0,735.54,736.2999,724.43,733.3,3348800.0,36.32,39.09,36.0701,38.35,12093400.0,40.61,40.7,40.16,40.41,3835400.0,95.17,95.75,95.1,95.5,2655500.0,70.58,71.3,70.385,71.3,1993100.0,145.88,146.02,144.35,144.96,446000.0,56.9,57.12,56.83,56.94,1645800.0,55.58,55.72,55.071,55.62,4806700.0,159.8,159.88,158.36,159.14,802300.0,25.95,25.96,25.4,25.62,3357400.0,52.0,52.245,51.36,51.4,8196200.0,26.275,26.33,26.035,26.21,21358700.0,44.03,44.26,43.04,43.1,21394400.0,34.68,34.79,34.43,34.71,20132600.0,87.82,88.48,87.29,88.48,14226400.0
33.66,33.71,33.09,33.57,11313000.0,77.53,77.95,77.37,77.73,1529000.0,136.36,136.82,135.65,136.64,522300.0,60.42,60.9,60.15,60.26,5885600.0,17.19,17.43,17.05,17.24,21300.0,101.03,101.5,100.75,101.23,1834400.0,170.11,172.37,169.33,171.83,964000.0,13.0,13.16,12.89,13.11,10251700.0,79.6,79.82,78.9,79.09,441400.0,13.4,13.6,13.39,13.47,36973900.0,732.27,738.35,728.6,738.118,4045300.0,38.14,41.9,36.28,39.95,44725200.0,40.45,40.77,40.13,40.33,3611900.0,95.87,96.74,95.71,96.41,2359700.0,71.31,71.31,70.525,70.8,1307900.0,145.35,145.52,144.69,145.49,411400.0,57.09,57.33,56.86,57.2,1752500.0,55.89,55.9,54.33,54.63,8339200.0,159.52,160.09,159.12,159.92,735500.0,25.56,25.95,25.2,25.64,3610900.0,51.59,52.5,51.5,52.37,5154300.0,26.37,26.54,26.34,26.4,15888583.0,42.84,43.19,42.76,43.0,13346700.0,34.8468,35.15,34.66,34.71,24589300.0,88.4,88.54,87.755,88.14,10892200.0
33.7,33.94,33.66,33.85,9668400.0,78.16,78.87,77.91,78.67,2949800.0,137.11,137.28,136.26,137.09,590100.0,60.44,60.79,60.0875,60.79,6545300.0,17.36,17.62,17.1,17.12,17000.0,101.35,101.5,100.13,100.74,2328500.0,172.6,173.83,169.83,173.12,1187300.0,13.45,13.65,13.17,13.3,27721200.0,79.19,79.9,78.75,79.01,726500.0,13.78,13.94,13.68,13.83,84884300.0,742.83,745.0,733.5,741.48,3667700.0,40.37,42.99,38.03,39.24,27509200.0,40.5,40.53,39.53,40.01,3945900.0,96.71,96.99,96.33,96.89,2600600.0,71.06,71.51,70.76,71.49,1469100.0,145.82,146.29,145.04,146.28,561200.0,57.17,57.41,56.53,57.29,2301200.0,54.76,55.17,54.3,54.54,7183800.0,160.12,160.65,158.995,159.9,983500.0,25.77,25.88,24.9,25.39,6139000.0,52.52,53.19,52.33,53.11,6506500.0,26.5,26.69,26.36,26.65,14558317.0,43.22,43.59,42.965,43.59,11214800.0,35.03,35.4,34.89,35.4,37523100.0,88.75,89.48,88.37,89.1,13099600.0
33.88,33.88,33.3236,33.37,8554700.0,78.8,79.05,78.535,78.78,1798800.0,137.11,137.76,136.0,136.16,608000.0,60.5,61.97,60.31,61.24,10492500.0,17.16,17.3,17.0,17.07,30100.0,101.0,101.49,100.07,100.28,2206300.0,172.49,173.65,171.23,173.35,1324200.0,13.33,13.41,13.09,13.35,14934900.0,79.1,80.43,78.58,80.4,635300.0,14.0,14.07,13.9,14.0,67641200.0,742.0,742.4264,736.3,739.99,2567800.0,39.22,40.47,38.5,40.02,6884300.0,40.14,40.14,39.65,40.11,1827600.0,95.84,96.66,95.21,96.28,2923900.0,71.81,71.88,71.42,71.78,1544400.0,146.75,147.06,145.77,147.05,515100.0,56.0,56.13,55.38,55.65,3056800.0,55.11,55.24,54.44,55.01,6651300.0,159.9,160.27,159.422,159.98,806800.0,25.39,25.99,25.31,25.99,4846500.0,53.4,53.4,52.33,52.82,10182500.0,26.71,26.74,26.51,26.59,8822000.0,43.73,43.74,43.04,43.3,11624000.0,34.93,35.18,34.53,35.1,44149200.0,88.97,89.71,88.865,89.61,11645600.0
33.48,33.57,33.14,33.36,6848700.0,78.9,79.04,78.39,78.7,1094300.0,136.34,137.0,136.16,136.81,497600.0,60.78,61.39,60.71,61.21,5176600.0,17.16,17.21,16.58,16.92,56600.0,100.34,101.9,99.7,100.37,2155100.0,172.94,174.7826,172.45,174.01,953500.0,13.3,13.49,13.17,13.44,7996300.0,80.76,81.66,79.88,81.41,593600.0,14.04,14.08,13.86,13.99,46224800.0,737.0,742.2,722.35,723.25,5722000.0,40.02,44.74,40.0,44.08,14266200.0,40.12,40.83,40.12,40.83,3499100.0,96.4,97.39,96.0962,97.08,2592500.0,71.58,71.95,71.5,71.69,1401300.0,147.06,147.47,146.05,146.31,731900.0,55.93,56.1,55.5,55.81,2228100.0,55.09,55.5,54.54,54.67,5798200.0,159.97,159.97,159.0,159.44,598600.0,25.84,26.07,25.5,25.99,5334200.0,52.87,54.42,52.6,53.36,7119900.0,26.41,26.44,26.17,26.27,19766450.0,42.92,43.09,42.49,42.59,15075300.0,34.99,35.06,34.52,34.77,23145600.0,89.46,89.75,89.319,89.58,9606700.0
33.19,33.36,32.97,33.02,12815200.0,78.65,79.33,78.25,79.32,2038700.0,136.31,138.5,136.31,138.37,480200.0,60.15,60.84,60.03,60.76,6399000.0,16.84,17.0,16.53,17.0,20800.0,99.85,101.52,99.81,101.15,1725200.0,172.45,174.96,171.171,174.65,1032000.0,13.25,13.74,13.21,13.63,17041000.0,81.41,81.85,80.76,81.45,636300.0,13.91,14.3,13.89,14.3,55425000.0,719.33,735.0,712.1,724.93,7847500.0,44.35,46.32,43.4,46.19,11958600.0,40.53,40.92,40.01,40.8,3308100.0,96.83,97.403,96.57,97.29,2106400.0,71.54,71.93,71.42,71.88,989400.0,146.7,147.87,145.79,147.67,572300.0,55.65,56.33,55.58,56.03,1179400.0,54.63,54.785,53.68,54.48,6573900.0,158.99,160.45,158.81,160.19,1300700.0,25.28,26.02,25.2,25.96,5428700.0,53.22,53.85,53.21,53.62,5802900.0,26.09,26.25,26.08,26.17,13868983.0,42.46,42.56,41.96,41.97,15099600.0,34.63,35.2,34.6,35.11,24837500.0,89.16,89.61,89.0,89.53,9195400.0
