0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
77.0700,0.0000,41.2500,0.0000,196.3500,0.0000,90.1200,0.0000,44.6600,0.0000,257.3100,0.0000,549.0300,0.0000,93.2000,0.0000,51.1000,0.0000,35.1200,0.0000,131.6600,0.0000,64.7500,0.0000,37.6000,0.0000,27.6200,0.0000,21.3400,0.0000,12.7200,0.0000,32.7100,0.0000,20.3400,0.0000,510.2700,0.0000,70.8400,0.0000,89.1500,0.0000,41.8800,0.0000,63.4800,0.0000,110.3900,0.0000,12.0300,0.0000
77.4700,0.0052,41.3900,0.0034,195.2700,-0.0055,90.6300,0.0057,44.5700,-0.0020,258.4800,0.0045,542.0959,-0.0126,93.6211,0.0045,51.2100,0.0022,34.8300,-0.0083,130.9400,-0.0055,65.0000,0.0039,37.6000,0.0000,27.2500,-0.0134,21.1000,-0.0112,12.7300,0.0008,33.2400,0.0162,20.4500,0.0054,511.0000,0.0014,70.7400,-0.0014,88.5900,-0.0063,42.4700,0.0141,63.3000,-0.0028,109.9200,-0.0043,11.9600,-0.0058
77.6900,0.0028,42.4298,0.0251,193.9900,-0.0066,89.8487,-0.0086,45.3600,0.0177,259.1500,0.0026,527.0000,-0.0278,93.8500,0.0024,52.1900,0.0191,34.3908,-0.0126,134.5100,0.0273,66.3300,0.0205,37.6600,0.0016,26.7400,-0.0187,21.2000,0.0047,13.1500,0.0330,33.3500,0.0033,20.4819,0.0016,510.9800,0.0000,71.5500,0.0115,88.9800,0.0044,42.6600,0.0045,63.1800,-0.0019,110.5000,0.0053,12.1100,0.0125
76.1300,-0.0201,42.4700,0.0009,193.1400,-0.0044,90.9100,0.0118,45.4100,0.0011,268.4592,0.0359,523.9000,-0.0059,93.4500,-0.0043,50.9700,-0.0234,34.4600,0.0020,134.2600,-0.0019,66.3600,0.0005,37.3000,-0.0096,26.6900,-0.0019,21.1300,-0.0033,12.7700,-0.0289,33.4000,0.0015,20.2903,-0.0094,519.5300,0.0167,71.4000,-0.0021,88.5300,-0.0051,43.1600,0.0117,62.8412,-0.0054,109.7500,-0.0068,12.0900,-0.0017
74.1300,-0.0263,42.4600,-0.0002,192.8700,-0.0014,90.9400,0.0003,45.5000,0.0020,266.3800,-0.0077,525.3100,0.0027,93.8100,0.0039,50.7600,-0.0041,33.7100,-0.0218,133.0500,-0.0090,65.7400,-0.0093,37.0400,-0.0070,26.5500,-0.0052,20.9000,-0.0109,12.4915,-0.0218,33.4900,0.0027,20.3100,0.0010,517.8200,-0.0033,71.4100,0.0001,88.1500,-0.0043,43.1100,-0.0012,63.2200,0.0060,109.2600,-0.0045,11.9800,-0.0091
76.7600,0.0355,42.0400,-0.0099,192.3200,-0.0029,90.8100,-0.0014,45.4700,-0.0007,266.3500,-0.0001,517.1000,-0.0156,93.3200,-0.0052,50.7800,0.0004,33.9000,0.0056,134.3200,0.0095,66.5400,0.0122,37.0300,-0.0003,26.7000,0.0056,20.9500,0.0024,12.2100,-0.0225,33.6800,0.0057,20.3000,-0.0005,532.3900,0.0281,71.7300,0.0045,88.6700,0.0059,43.3800,0.0063,63.1700,-0.0008,109.5400,0.0026,11.4300,-0.0459
77.0900,0.0043,42.8300,0.0188,192.8800,0.0029,91.4000,0.0065,46.1500,0.0150,265.3400,-0.0038,523.5100,0.0124,94.6500,0.0143,50.7900,0.0002,34.0000,0.0029,137.3700,0.0227,66.4200,-0.0018,36.9600,-0.0019,26.4600,-0.0090,21.1700,0.0105,12.2300,0.0016,34.0900,0.0122,20.4400,0.0069,527.6500,-0.0089,72.1900,0.0064,87.8100,-0.0097,43.8500,0.0108,63.6200,0.0071,110.4700,0.0085,11.7800,0.0306
75.1600,-0.0250,42.3400,-0.0114,194.4500,0.0081,91.7300,0.0036,46.1400,-0.0002,267.9400,0.0098,520.3000,-0.0061,94.3900,-0.0027,50.5800,-0.0041,33.8500,-0.0044,137.1300,-0.0017,66.3100,-0.0017,36.9100,-0.0014,26.8300,0.0140,21.1300,-0.0019,12.2100,-0.0016,34.1300,0.0012,20.4800,0.0020,528.6800,0.0020,72.3500,0.0022,86.9600,-0.0097,44.0700,0.0050,63.7000,0.0013,111.7300,0.0114,11.6300,-0.0127
76.5500,0.0185,42.2200,-0.0028,192.6200,-0.0094,91.5300,-0.0022,45.8800,-0.0056,272.7300,0.0179,501.7500,-0.0357,95.3600,0.0103,50.5900,0.0002,34.0900,0.0071,136.1300,-0.0073,66.7600,0.0068,36.9900,0.0022,26.8900,0.0022,21.1200,-0.0005,12.2000,-0.0008,34.2200,0.0026,20.9700,0.0239,523.5100,-0.0098,72.5600,0.0029,86.9200,-0.0005,44.2200,0.0034,63.4800,-0.0035,112.8500,0.0100,11.4700,-0.0138
76.9400,0.0051,42.5700,0.0083,192.5000,-0.0006,91.5100,-0.0002,46.3500,0.0102,271.9000,-0.0030,485.9200,-0.0315,95.3600,0.0000,51.0900,0.0099,34.6000,0.0150,135.5900,-0.0040,66.8800,0.0018,37.3200,0.0089,27.2100,0.0119,21.2000,0.0038,11.9800,-0.0180,34.3000,0.0023,20.9800,0.0005,522.8000,-0.0014,72.3700,-0.0026,85.0800,-0.0212,44.1300,-0.0020,63.9500,0.0074,113.4400,0.0052,11.5500,0.0070
74.3400,-0.0338,42.4800,-0.0021,192.5900,0.0005,91.1000,-0.0045,46.8200,0.0101,268.9300,-0.0109,506.0900,0.0415,95.0300,-0.0035,51.5300,0.0086,35.5400,0.0272,141.0900,0.0406,66.7300,-0.0022,37.3200,0.0000,27.0400,-0.0062,21.1200,-0.0038,12.0900,0.0092,34.3300,0.0009,21.0300,0.0024,521.2900,-0.0029,72.5800,0.0029,84.3200,-0.0089,43.9400,-0.0043,63.8600,-0.0014,113.9700,0.0047,11.7800,0.0199
