0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
76.55,77.33,76.45,77.07,5036400.0,40.91,41.4,40.7,41.25,45648500.0,194.09,196.35,193.8,196.35,4234100.0,89.4,90.35,89.33,90.12,7377200.0,44.98,45.0,44.22,44.66,31413000.0,256.08,258.0999,253.26,257.31,3271000.0,553.82,555.0,541.63,549.03,20018500.0,91.32,93.2,91.29,93.2,7529000.0,50.8,51.25,50.64,51.1,11674700.0,34.92,35.4,34.1,35.12,13767900.0,131.3,131.66,129.62,131.66,4449000.0,64.67,65.09,64.16,64.75,5208600.0,36.99,37.6,36.66,37.6,21872400.0,27.25,27.73,27.1499,27.62,52899300.0,21.51,21.54,21.2,21.34,46089500.0,12.56,12.73,12.51,12.72,11970900.0,32.84,32.84,32.5,32.71,12153200.0,20.12,20.34,20.01,20.34,40304500.0,506.3,510.27,501.0,510.27,1227800.0,71.02,71.02,70.3,70.84,12874200.0,87.36,89.24,87.29,89.15,5772800.0,41.45,41.88,41.16,41.88,6521500.0,63.57,63.71,62.61,63.48,9067200.0,110.27,110.42,108.74,110.39,6144100.0,12.05,12.15,11.9,12.03,236021400.0
76.99,77.98,76.37,77.47,3987000.0,41.17,41.5,41.04,41.39,38343300.0,195.67,196.29,194.44,195.27,3644700.0,90.31,90.7,90.16,90.63,5473500.0,44.74,44.75,44.2,44.57,24227700.0,257.27,260.88,256.37,258.48,2750900.0,547.88,549.67,541.0,542.0959,12605900.0,93.11,94.34,92.82,93.6211,7174600.0,51.05,51.335,50.84,51.21,7566600.0,35.0,35.0,34.16,34.83,16739300.0,131.7,131.78,130.07,130.94,4584600.0,64.6,65.505,64.54,65.0,2974200.0,37.45,37.6,37.11,37.6,16357900.0,27.63,27.65,27.16,27.25,48294400.0,21.48,21.49,21.05,21.1,48509100.0,12.72,12.87,12.58,12.73,7472200.0,32.73,33.28,32.615,33.24,10281400.0,20.46,20.5,20.3,20.45,50603500.0,510.46,515.458,508.15,511.0,945200.0,70.98,71.0,70.445,70.74,9598300.0,89.53,89.58,88.34,88.59,3871300.0,41.99,42.52,41.94,42.47,5338600.0,63.78,63.93,63.08,63.3,6056800.0,110.14,110.92,109.51,109.92,6817000.0,12.01,12.05,11.88,11.96,157149700.0
77.79,78.02,77.44,77.69,3431700.0,41.76,42.54,41.63,42.4298,46310100.0,194.19,194.46,192.78,193.99,3380200.0,90.62,90.79,89.67,89.8487,5374100.0,44.45,45.43,44.44,45.36,24487700.0,257.58,259.8,256.65,259.15,1874200.0,536.965,538.6299,525.8286,527.0,21226200.0,93.74,94.05,93.36,93.85,4142200.0,51.38,52.335,51.33,52.19,8745900.0,34.62,34.89,34.25,34.3908,21372100.0,130.93,134.64,130.32,134.51,5234600.0,65.25,66.45,65.25,66.33,4139300.0,37.65,37.87,37.52,37.66,15311300.0,27.27,27.34,26.73,26.74,52521100.0,21.21,21.26,21.12,21.2,29802600.0,12.75,13.19,12.71,13.15,13124200.0,33.33,33.43,33.09,33.35,8631900.0,20.41,20.68,20.39,20.4819,36378900.0,511.15,512.2,507.0,510.98,1147500.0,71.24,71.73,71.01,71.55,11631800.0,88.59,89.28,88.42,88.98,3280500.0,42.59,42.71,42.37,42.66,4219900.0,63.21,63.37,63.0,63.18,4779100.0,109.99,110.62,109.9,110.5,4414500.0,11.97,12.11,11.93,12.11,132601900.0
77.54,77.69,75.34,76.13,7172600.0,42.54,42.55,41.97,42.47,36305100.0,193.4,193.78,192.34,193.14,2862300.0,89.77,91.05,89.25,90.91,5820900.0,45.09,45.485,45.02,45.41,24456900.0,262.97,269.725,262.67,268.4592,4910000.0,522.0,529.3,515.2,523.9,17291300.0,93.8,93.88,93.14,93.45,3987500.0,51.76,51.76,50.66,50.97,9472100.0,34.15,35.45,34.15,34.46,17897100.0,134.12,134.51,132.8805,134.26,3556900.0,66.07,66.8,66.0,66.36,4264600.0,37.52,37.52,37.1,37.3,14610200.0,26.77,26.88,26.64,26.69,37110400.0,21.16,21.22,20.96,21.13,32746700.0,13.14,13.18,12.68,12.77,15268300.0,33.27,33.54,33.21,33.4,6047800.0,20.38,20.42,20.16,20.2903,30790700.0,513.01,521.31,511.66,519.53,1139800.0,71.5,71.52,71.191,71.4,1642844.0,88.49,88.8,87.76,88.53,2573300.0,42.52,43.48,42.39,43.16,6807700.0,62.6,63.0,62.38,62.8412,5466500.0,110.09,110.09,109.19,109.75,4861000.0,12.15,12.2,12.0,12.09,201403500.0
75.24,75.81,73.11,74.13,20268100.0,42.29,42.47,42.03,42.46,28185200.0,192.92,193.3,191.605,192.87,3026900.0,90.54,90.96,89.975,90.94,6285200.0,45.4,45.5,44.96,45.5,19624200.0,267.07,268.98,263.567,266.38,3010700.0,529.21,531.89,521.25,525.31,16382400.0,93.38,93.81,92.9765,93.81,3657800.0,50.88,51.175,50.57,50.76,8637600.0,34.29,34.64,33.36,33.71,17863300.0,133.71,133.95,132.7,133.05,2760200.0,66.25,66.26,65.54,65.74,2977400.0,37.19,37.28,36.91,37.04,14324300.0,26.75,26.79,26.46,26.55,44703100.0,21.1,21.12,20.6813,20.9,40045500.0,12.8,12.84,12.4,12.4915,11660600.0,33.36,33.66,33.35,33.49,9651300.0,20.18,20.34,20.08,20.31,33218100.0,520.03,521.05,514.94,517.82,698300.0,71.45,71.65,71.25,71.41,2712515.0,88.44,88.68,87.44,88.15,5170700.0,43.16,43.31,42.9,43.11,4137600.0,62.75,63.46,62.73,63.22,5433000.0,109.48,109.69,109.1,109.26,6325400.0,12.09,12.1,11.89,11.98,168461100.0
74.92,76.81,74.91,76.76,10915800.0,42.5,43.25,41.81,42.04,44923500.0,193.48,193.49,191.65,192.32,3212000.0,90.8,91.24,90.36,90.81,4822100.0,45.56,46.2,45.14,45.47,25920600.0,268.17,269.5,265.401,266.35,2265600.0,522.5,525.0054,515.99,517.1,14557300.0,94.08,94.08,93.02,93.32,3505000.0,50.93,51.5,50.76,50.78,8389000.0,33.61,33.95,33.61,33.9,18800400.0,133.4,134.43,133.27,134.32,3666500.0,66.05,66.54,65.87,66.54,3218100.0,37.2,37.2,36.83,37.03,10563700.0,26.72,26.75,26.56,26.7,49047900.0,21.04,21.07,20.93,20.95,28540500.0,12.59,12.65,12.13,12.21,17375500.0,33.5,33.69,33.39,33.68,11742200.0,20.26,20.54,20.25,20.3,30380100.0,525.2,532.39,522.67,532.39,1146100.0,71.64,71.85,71.5,71.73,7672800.0,88.34,88.9244,88.21,88.67,3372500.0,43.32,43.85,43.24,43.38,3442200.0,63.51,63.63,63.01,63.17,4712400.0,109.72,110.08,109.203,109.54,4558600.0,11.87,12.0,11.33,11.43,335692000.0
76.93,77.12,76.1599,77.09,5026600.0,42.34,43.06,41.98,42.83,42154200.0,192.65,192.96,191.28,192.88,3608100.0,91.35,91.64,91.025,91.4,4393300.0,45.89,46.16,45.53,46.15,23413600.0,268.54,268.74,262.3,265.34,2863400.0,528.55,528.72,515.52,523.51,21469500.0,93.78,94.69,93.41,94.65,4682900.0,50.87,51.24,50.59,50.79,8097400.0,33.66,34.0,33.33,34.0,15658100.0,135.07,138.15,134.13,137.37,5960700.0,66.87,66.87,66.09,66.42,4421000.0,37.12,37.17,36.76,36.96,15603700.0,26.65,26.98,26.29,26.46,71431300.0,21.04,21.23,20.955,21.17,33348200.0,12.32,12.38,12.16,12.23,12659200.0,33.75,34.11,33.69,34.09,7943400.0,20.35,20.49,20.285,20.44,31419200.0,532.47,532.47,524.29,527.65,1256400.0,71.81,72.38,71.74,72.19,11888500.0,88.32,89.0,87.27,87.81,5861200.0,43.46,43.97,43.46,43.85,4241100.0,63.38,63.62,62.78,63.62,6714100.0,110.19,110.76,110.09,110.47,5276400.0,11.61,11.81,11.54,11.78,199964900.0
75.71,76.1,74.6,75.16,9808500.0,42.82,42.83,41.92,42.34,42517300.0,194.15,195.0,192.9,194.45,3880400.0,91.94,91.98,91.05,91.73,3692600.0,45.97,46.15,45.47,46.14,19723900.0,265.1,268.43,264.11,267.94,2413300.0,521.0,525.32,519.02,520.3,12518100.0,94.72,94.75,94.22,94.39,4269400.0,50.82,51.02,50.45,50.58,7149000.0,33.59,33.9,33.35,33.85,11191500.0,136.97,137.17,136.13,137.13,3211700.0,66.35,66.5,66.1,66.31,2346400.0,36.84,36.94,36.52,36.91,15644800.0,26.49,26.93,26.28,26.83,55512100.0,21.22,21.24,21.02,21.13,41839700.0,12.28,12.29,12.09,12.21,12829300.0,34.01,34.23,33.95,34.13,7067300.0,20.4,20.51,20.33,20.48,23423800.0,527.51,529.79,525.52,528.68,642400.0,72.19,72.58,72.16,72.35,7766700.0,87.95,88.05,86.87,86.96,4681700.0,43.76,44.115,43.76,44.07,3212000.0,63.47,63.76,63.342,63.7,4567100.0,111.2,112.076,110.8,111.73,5456300.0,11.7,11.72,11.51,11.63,146136700.0
75.23,76.59,74.9,76.55,6221100.0,42.36,42.55,41.71,42.22,26795300.0,192.82,193.28,191.75,192.62,4172200.0,91.76,92.12,91.43,91.53,3828100.0,45.89,46.18,45.48,45.88,19079500.0,268.0,274.26,267.54,272.73,4275000.0,502.68,507.5,498.51,501.75,26221700.0,94.55,95.36,94.18,95.36,5144300.0,50.4,50.83,50.18,50.59,9308800.0,34.01,34.25,33.8,34.09,11584900.0,137.19,137.32,135.66,136.13,2855800.0,66.4,66.76,66.12,66.76,1839600.0,36.95,37.11,36.8,36.99,11001500.0,26.9,27.08,26.76,26.89,48324400.0,21.18,21.24,21.07,21.12,31715900.0,12.29,12.29,12.06,12.2,7642100.0,34.13,34.3,34.11,34.22,5599300.0,20.68,20.99,20.65,20.97,55156900.0,529.55,529.98,521.23,523.51,991100.0,72.6,72.79,72.37,72.56,7386000.0,87.17,87.25,86.5,86.92,4401000.0,43.99,44.24,43.77,44.22,3126300.0,63.66,63.9,63.39,63.48,4532200.0,111.38,112.95,111.35,112.85,6373900.0,11.61,11.63,11.38,11.47,110032900.0
76.21,76.98,76.18,76.94,3900600.0,41.81,42.74,41.77,42.57,29118700.0,191.31,192.73,190.39,192.5,4172100.0,91.11,91.63,90.86,91.51,3910400.0,45.49,46.47,45.35,46.35,29898000.0,270.68,272.73,269.3,271.9,2326900.0,498.3,498.99,483.38,485.92,31313300.0,95.11,95.48,94.76,95.36,3625600.0,50.47,51.15,50.43,51.09,7299500.0,33.71,34.72,33.71,34.6,13040200.0,135.55,137.255,135.12,135.59,4322800.0,66.28,66.975,66.18,66.88,2273400.0,36.99,37.43,36.8,37.32,12721600.0,26.83,27.29,26.825,27.21,48244500.0,21.04,21.21,21.01,21.2,26551000.0,12.14,12.14,11.91,11.98,9397200.0,34.03,34.37,34.02,34.3,8170000.0,20.92,20.99,20.78,20.98,29550900.0,522.24,523.4,519.2,522.8,585800.0,72.25,72.44,72.0,72.37,7795100.0,86.56,86.8599,85.0,85.08,6277900.0,44.01,44.165,43.82,44.13,3812700.0,63.5,64.01,63.45,63.95,5119400.0,112.26,113.47,112.15,113.44,5637600.0,11.38,11.62,11.3,11.55,126058300.0
