0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
78.33,78.5,77.28,78.16,3854200.0,95.21,95.81,90.69,92.01,2775900.0,25.53,25.91,25.33,25.91,33522200.0,64.79,65.179,64.54,65.0,1737600.0,34.39,35.0,34.21,35.0,38323500.0,74.31,75.06,73.87,75.06,3970900.0,58.41,59.59,57.94,59.17,4491100.0,31.43,31.65,31.03,31.65,5297800.0,62.08,62.23,60.78,61.13,2043174.0,13.72,14.01,13.6,13.98,17860590.0,37.92,38.73,37.92,38.34,6483800.0,106.76,107.22,105.9,106.65,1029500.0,73.28,75.1,72.9,75.1,3797900.0,60.35,61.02,59.9,61.01,3250900.0,29.41,29.5,28.63,29.13,15605900.0,93.79,94.17,92.58,93.27,2245600.0,10.45,10.5,10.36,10.47,6017300.0,25.84,26.69,25.78,26.67,17862400.0,20.1601,20.17,19.51,19.62,29812900.0,37.24,37.5,37.04,37.35,3483200.0,32.46,32.98,32.4,32.97,10045200.0,4.44,4.53,4.44,4.5,319900.0,3.67,3.6789,3.44,3.55,19900.0,69.99,70.57,69.81,70.52,2238300.0,68.93,69.24,68.45,69.24,10390800.0
78.02,79.315,77.852,78.47,3237900.0,91.97,97.92,91.5301,96.59,3987500.0,25.98,25.99,25.56,25.85,33757400.0,64.95,65.15,64.62,64.8,1321800.0,35.09,35.17,34.77,35.02,28932700.0,75.11,75.845,74.74,74.95,2982700.0,58.42,58.88,57.35,57.64,3561500.0,31.56,31.93,31.37,31.59,3656200.0,61.22,61.58,60.952,61.4,1476033.0,14.02,14.13,13.6,13.66,14472922.0,38.14,38.3,37.66,37.75,3906000.0,106.8,107.4,106.52,106.78,732900.0,74.95,74.95,73.27,73.6,2517000.0,61.35,62.98,61.35,62.23,2956700.0,29.05,30.23,28.84,29.82,22903800.0,93.52,94.31,93.07,93.55,1828100.0,10.46,10.77,10.435,10.72,8985837.0,26.7,26.77,26.49,26.64,9075500.0,19.46,19.61,19.32,19.58,29859500.0,37.44,37.615,37.27,37.4,3071600.0,32.88,32.96,32.44,32.51,12697900.0,4.52,4.6,4.46,4.6,145900.0,3.5,3.62,3.4101,3.55,13400.0,70.6,70.83,70.33,70.53,1227300.0,69.25,69.35,68.38,68.8,8910100.0
78.51,79.88,78.47,79.84,3775600.0,96.54,97.71,95.54,95.98,2537300.0,25.85,25.99,25.76,25.96,28604900.0,64.95,65.64,64.68,65.37,1656000.0,35.1,35.27,35.0,35.23,21136600.0,75.2,76.05,74.85,75.7245,3563100.0,58.01,58.65,57.89,58.41,2963600.0,31.52,32.01,31.52,32.01,3450400.0,61.4,61.77,61.22,61.73,1140350.0,13.8,14.87,13.76,14.73,32301072.0,37.88,38.19,37.62,38.13,3809300.0,106.7,107.66,106.7,107.47,650000.0,73.58,73.84,73.02,73.54,1704300.0,62.3,62.98,62.03,62.69,1895600.0,29.74,29.86,29.23,29.86,8066600.0,93.93,94.0,93.07,93.9,1739300.0,10.75,10.92,10.73,10.88,6885088.0,26.74,26.83,26.55,26.74,7696000.0,19.68,20.25,19.58,20.19,31983900.0,37.42,37.75,37.29,37.71,2621400.0,32.85,33.3,32.64,33.2207,11487400.0,4.64,4.69,4.6,4.66,202900.0,3.47,3.64,3.47,3.5,2900.0,70.64,70.95,70.45,70.88,934800.0,68.73,69.18,68.34,69.06,6438000.0
79.56,80.17,79.26,79.88,3595900.0,96.33,101.75,96.12,99.2004,6507200.0,25.91,26.05,25.77,25.98,25779900.0,65.2,65.93,65.08,65.88,1839200.0,35.25,35.5,35.1,35.39,27500500.0,76.89,77.08,76.2001,76.88,3974200.0,58.01,59.15,57.765,59.14,2329800.0,31.81,32.1,31.64,31.85,4781000.0,61.7,62.0,61.4,61.56,1752486.0,14.79,14.98,14.53,14.84,15363539.0,37.81,38.21,37.7,37.94,3632100.0,107.03,108.32,106.93,108.26,807400.0,73.21,73.595,72.57,72.76,1585200.0,62.67,62.67,61.45,62.0,1887200.0,29.64,29.86,29.3,29.66,8385300.0,93.43,94.36,93.41,94.22,1335700.0,10.9,11.02,10.8,10.91,6882092.0,26.62,26.74,26.55,26.66,7576200.0,20.02,20.13,19.67,19.8,21445100.0,37.58,38.17,37.58,37.96,2527900.0,33.1,33.17,32.75,32.92,8170400.0,4.66,4.69,4.6,4.6,97600.0,3.57,3.6,3.36,3.44,27500.0,70.85,70.94,70.38,70.5492,1394600.0,68.83,68.92,68.125,68.4,6201400.0
80.28,82.0,79.92,81.72,8392300.0,100.01,100.99,96.8,97.1563,3530700.0,26.0,26.25,25.98,26.02,31057000.0,65.93,65.98,65.34,65.47,1766900.0,35.02,35.04,34.27,34.35,29210300.0,76.82,78.41,76.81,77.4,6685700.0,58.93,59.8,58.28,59.74,3778700.0,31.77,32.0,31.5,31.94,3447900.0,61.55,61.96,61.39,61.68,1079703.0,14.89,15.25,14.78,15.16,21539946.0,37.78,38.2,37.75,38.14,3080900.0,107.91,108.16,107.04,107.33,591500.0,72.89,73.07,72.25,72.67,1376600.0,61.75,62.75,61.62,62.74,1638800.0,29.66,29.85,29.05,29.37,10435200.0,93.8,93.8,92.455,92.96,1340600.0,11.23,11.27,11.0,11.03,10489712.0,26.52,26.92,26.46,26.68,14360800.0,19.74,19.79,19.59,19.65,22206200.0,37.95,38.0,37.64,37.84,2428900.0,32.8,33.02,32.64,32.97,6519800.0,4.62,4.65,4.52,4.53,92100.0,3.36,3.46,3.35,3.37,13800.0,70.58,71.3,70.385,71.3,1993100.0,68.28,68.89,68.21,68.59,5866900.0
81.61,82.45,81.6,82.11,5419500.0,97.12,97.95,94.55,95.91,2889000.0,26.22,26.56,26.19,26.47,34210200.0,65.93,67.75,65.704,67.73,2421900.0,34.44,34.58,34.24,34.24,19618400.0,77.46,77.88,76.922,77.87,4128700.0,60.1,60.17,59.43,59.6,2962700.0,32.0,32.07,31.48,31.65,3178100.0,61.81,61.89,61.37,61.49,1379803.0,15.12,15.5,15.04,15.13,22769704.0,38.16,38.705,38.1,38.66,4083100.0,107.45,107.73,107.33,107.56,532700.0,72.96,73.56,72.38,72.59,2423400.0,62.79,63.22,62.41,62.49,1349100.0,29.58,30.28,29.56,29.97,13341400.0,93.17,94.04,92.61,93.99,1289800.0,11.04,11.16,10.94,11.0,8476347.0,26.79,27.08,26.68,27.05,11671400.0,19.7,19.94,19.41,19.62,26993800.0,37.95,38.275,37.76,38.22,2599500.0,33.07,33.44,33.07,33.27,10072300.0,4.55,4.6,4.51,4.6,50600.0,3.4,3.59,3.33,3.42,59100.0,71.31,71.31,70.525,70.8,1307900.0,68.66,68.71,68.22,68.57,5055200.0
82.98,83.17,82.23,83.01,5150100.0,96.57,99.92,95.7,98.0,3731100.0,26.52,26.77,26.39,26.76,34085800.0,67.91,68.0,66.9401,67.54,1727700.0,34.45,34.62,34.33,34.37,23664100.0,78.09,78.59,76.96,77.94,4138500.0,60.19,60.74,59.55,60.61,3617100.0,31.87,32.39,31.85,32.28,4423900.0,62.0,62.06,61.6,61.99,1466033.0,15.2,15.28,14.84,15.14,14071850.0,38.75,38.78,38.09,38.62,3645200.0,107.87,107.87,107.0,107.4,780500.0,73.13,73.39,72.41,73.18,1960500.0,62.87,63.82,62.5,63.8,2716800.0,30.28,30.45,29.78,30.44,12115400.0,94.28,94.35,93.56,94.11,1634300.0,11.09,11.09,10.94,11.07,8751670.0,27.13,27.34,27.09,27.31,16348500.0,19.86,20.43,19.82,20.34,39869800.0,38.43,38.43,37.79,38.04,2825800.0,33.56,33.8,33.2,33.64,10266200.0,4.6,4.63,4.56,4.62,51300.0,3.46,3.5,3.33,3.34,28900.0,71.06,71.51,70.76,71.49,1469100.0,68.66,69.03,67.72,68.36,11453800.0
82.93,83.17,82.59,83.08,3470800.0,98.18,101.92,98.0,101.29,4264500.0,26.74,26.825,26.5,26.52,27817700.0,67.41,67.73,67.34,67.55,927700.0,34.44,34.49,34.13,34.27,27074400.0,78.09,78.47,77.36,78.08,4131200.0,60.72,60.96,60.2,60.91,1993300.0,32.29,32.46,31.89,32.15,3337200.0,62.15,62.35,61.69,61.93,1389264.0,15.1,15.31,14.72,14.78,12947453.0,38.65,38.734,37.89,38.09,3511300.0,107.55,107.7,106.88,107.0,688600.0,73.25,73.28,72.69,72.78,1412200.0,63.8,64.14,63.54,64.13,1805400.0,30.38,30.6,30.11,30.36,6862900.0,94.46,94.77,93.63,93.71,1174300.0,11.09,11.16,11.0,11.05,7141643.0,27.35,27.54,27.25,27.42,10162600.0,20.16,20.42,20.09,20.17,20880000.0,38.06,38.29,37.99,38.28,1801100.0,33.58,33.58,33.19,33.5,6768400.0,4.63,4.65,4.52,4.52,64300.0,3.35,3.47,3.33,3.4,13100.0,71.81,71.88,71.42,71.78,1544400.0,68.6,68.79,68.21,68.63,6224500.0
83.1,83.5,82.21,82.67,3077700.0,100.99,104.5,100.56,103.445,3353300.0,26.61,26.88,26.55,26.74,24032600.0,67.65,67.84,67.18,67.56,1155000.0,34.16,34.22,33.96,34.02,21973300.0,78.44,78.5,77.485,77.77,4581100.0,60.78,61.42,60.73,61.2,3198300.0,32.1,32.26,31.81,32.06,3304000.0,61.95,62.08,61.79,61.94,1394350.0,14.81,14.81,14.41,14.67,16026810.0,37.99,38.2,37.81,38.16,3048600.0,107.12,107.51,107.06,107.36,489200.0,72.54,73.112,72.5,72.94,1121700.0,64.04,64.43,63.9,64.23,2079000.0,30.15,30.39,29.89,30.33,6634700.0,93.09,93.94,93.09,93.91,850100.0,11.05,11.13,11.01,11.02,8024978.0,27.46,27.52,27.17,27.48,8688200.0,20.24,20.24,19.75,20.07,14590200.0,38.3,38.32,38.06,38.3,1355300.0,33.53,33.57,33.2,33.47,6521600.0,4.53,4.63,4.5,4.61,91400.0,3.4,3.4,3.33,3.4,2500.0,71.58,71.95,71.5,71.69,1401300.0,68.49,68.67,68.11,68.3,5490400.0
82.33,82.82,82.2,82.49,2594200.0,103.02,104.356,101.05,101.69,2438300.0,26.59,26.64,26.5,26.62,29937300.0,67.14,67.88,67.0,67.74,791300.0,33.98,34.03,33.6,33.76,24338600.0,77.41,78.35,77.08,77.36,4663400.0,60.93,61.65,60.88,61.34,2181400.0,31.82,32.06,31.6,31.93,4484800.0,62.02,62.02,61.6,61.81,1636488.0,14.24,14.53,14.11,14.31,19798660.0,37.86,38.46,37.84,38.15,2968100.0,107.23,108.89,107.052,108.7,729200.0,72.88,73.26,72.37,73.21,1884500.0,64.0,64.35,63.605,64.34,1150600.0,30.11,30.68,29.95,30.6,7497500.0,93.49,94.34,93.35,94.02,1239200.0,10.98,11.13,10.94,11.08,11341110.0,27.58,27.74,27.34,27.71,9863200.0,19.93,20.54,19.85,20.43,25277000.0,38.0,38.5,37.73,38.47,2014800.0,33.39,33.4,33.07,33.28,9372800.0,4.63,4.65,4.57,4.57,54300.0,3.46,3.4699,3.36,3.36,9000.0,71.54,71.93,71.42,71.88,989400.0,68.19,69.24,68.1,68.98,6140400.0
