0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
32.0500,0.0000,79.0500,0.0000,136.0300,0.0000,58.7500,0.0000,18.0800,0.0000,101.4500,0.0000,171.1700,0.0000,12.2300,0.0000,77.7900,0.0000,13.2000,0.0000,723.2500,0.0000,32.2000,0.0000,40.4900,0.0000,94.7800,0.0000,70.5200,0.0000,146.0900,0.0000,59.9200,0.0000,55.0000,0.0000,159.8000,0.0000,24.1900,0.0000,54.5400,0.0000,25.6500,0.0000,44.2700,0.0000,35.0500,0.0000,88.7100,0.0000
33.2700,0.0381,77.1200,-0.0244,136.7800,0.0055,59.0000,0.0043,17.4100,-0.0371,102.4900,0.0103,168.7100,-0.0144,12.5800,0.0286,78.3500,0.0072,13.4600,0.0197,723.6700,0.0006,36.3500,0.1289,40.3700,-0.0030,94.6700,-0.0012,70.5300,0.0001,145.5500,-0.0037,58.4800,-0.0240,55.3700,0.0067,158.5200,-0.0080,24.9300,0.0306,51.9900,-0.0468,25.3200,-0.0129,44.0600,-0.0047,34.7600,-0.0083,88.5500,-0.0018
33.0700,-0.0060,77.0500,-0.0009,136.3700,-0.0030,59.6100,0.0103,17.6900,0.0161,102.1600,-0.0032,169.6100,0.0053,12.9800,0.0318,79.3700,0.0130,13.5700,0.0082,737.9700,0.0198,37.0000,0.0179,40.8500,0.0119,95.3700,0.0074,70.8800,0.0050,146.2200,0.0046,58.2800,-0.0034,55.6900,0.0058,158.5900,0.0004,25.8500,0.0369,52.0900,0.0019,25.8100,0.0194,44.3000,0.0054,34.9400,0.0052,88.9600,0.0046
33.3400,0.0082,76.9600,-0.0012,136.5100,0.0010,59.8600,0.0042,17.4500,-0.0136,101.3700,-0.0077,168.9800,-0.0037,12.9900,0.0008,79.7600,0.0049,13.4300,-0.0103,734.7500,-0.0044,36.5700,-0.0116,40.7900,-0.0015,95.4900,0.0013,70.5492,-0.0047,145.9500,-0.0018,57.7000,-0.0100,55.7204,0.0005,159.7200,0.0071,25.6700,-0.0070,52.0900,0.0000,26.5400,0.0283,44.6900,0.0088,34.7700,-0.0049,87.9300,-0.0116
33.3500,0.0003,77.2700,0.0040,136.0900,-0.0031,60.2000,0.0057,17.1900,-0.0149,101.1800,-0.0019,169.9700,0.0059,12.9800,-0.0008,79.5700,-0.0024,13.3500,-0.0060,733.3000,-0.0020,38.3500,0.0487,40.4100,-0.0093,95.5000,0.0001,71.3000,0.0106,144.9600,-0.0068,56.9400,-0.0132,55.6200,-0.0018,159.1400,-0.0036,25.6200,-0.0019,51.4000,-0.0132,26.2100,-0.0124,43.1000,-0.0356,34.7100,-0.0017,88.4800,0.0063
33.5700,0.0066,77.7300,0.0060,136.6400,0.0040,60.2600,0.0010,17.2400,0.0029,101.2300,0.0005,171.8300,0.0109,13.1100,0.0100,79.0900,-0.0060,13.4700,0.0090,738.1180,0.0066,39.9500,0.0417,40.3300,-0.0020,96.4100,0.0095,70.8000,-0.0070,145.4900,0.0037,57.2000,0.0046,54.6300,-0.0178,159.9200,0.0049,25.6400,0.0008,52.3700,0.0189,26.4000,0.0072,43.0000,-0.0023,34.7100,0.0000,88.1400,-0.0038
33.8500,0.0083,78.6700,0.0121,137.0900,0.0033,60.7900,0.0088,17.1200,-0.0070,100.7400,-0.0048,173.1200,0.0075,13.3000,0.0145,79.0100,-0.0010,13.8300,0.0267,741.4800,0.0046,39.2400,-0.0178,40.0100,-0.0079,96.8900,0.0050,71.4900,0.0097,146.2800,0.0054,57.2900,0.0016,54.5400,-0.0016,159.9000,-0.0001,25.3900,-0.0098,53.1100,0.0141,26.6500,0.0095,43.5900,0.0137,35.4000,0.0199,89.1000,0.0109
33.3700,-0.0142,78.7800,0.0014,136.1600,-0.0068,61.2400,0.0074,17.0700,-0.0029,100.2800,-0.0046,173.3500,0.0013,13.3500,0.0038,80.4000,0.0176,14.0000,0.0123,739.9900,-0.0020,40.0200,0.0199,40.1100,0.0025,96.2800,-0.0063,71.7800,0.0041,147.0500,0.0053,55.6500,-0.0286,55.0100,0.0086,159.9800,0.0005,25.9900,0.0236,52.8200,-0.0055,26.5900,-0.0023,43.3000,-0.0067,35.1000,-0.0085,89.6100,0.0057
33.3600,-0.0003,78.7000,-0.0010,136.8100,0.0048,61.2100,-0.0005,16.9200,-0.0088,100.3700,0.0009,174.0100,0.0038,13.4400,0.0067,81.4100,0.0126,13.9900,-0.0007,723.2500,-0.0226,44.0800,0.1014,40.8300,0.0180,97.0800,0.0083,71.6900,-0.0013,146.3100,-0.0050,55.8100,0.0029,54.6700,-0.0062,159.4400,-0.0034,25.9900,0.0000,53.3600,0.0102,26.2700,-0.0120,42.5900,-0.0164,34.7700,-0.0094,89.5800,-0.0003
33.0200,-0.0102,79.3200,0.0079,138.3700,0.0114,60.7600,-0.0074,17.0000,0.0047,101.1500,0.0078,174.6500,0.0037,13.6300,0.0141,81.4500,0.0005,14.3000,0.0222,724.9300,0.0023,46.1900,0.0479,40.8000,-0.0007,97.2900,0.0022,71.8800,0.0027,147.6700,0.0093,56.0300,0.0039,54.4800,-0.0035,160.1900,0.0047,25.9600,-0.0012,53.6200,0.0049,26.1700,-0.0038,41.9700,-0.0146,35.1100,0.0098,89.5300,-0.0006
