0,,1,2,,3,4,,5,6,,7,8,,9,10,,11,12,,13,14,,15,16,,17,18,,19,20,,21,22,,23,24,,25,26,,27,28,,29,30,,31,32,,33,34,,35,36,,37,38,,39,40,,41,42,,43,44,,45,46,,47,48,,49
32.05,0,0,79.05,0,0,136.03,0,0,58.75,0,0,18.08,0,0,101.45,0,0,171.17,0,0,12.23,0,0,77.79,0,0,13.2,0,0,723.25,0,0,32.2,0,0,40.49,0,0,94.78,0,0,70.52,0,0,146.09,0,0,59.92,0,0,55,0,0,159.8,0,0,24.19,0,0,54.54,0,0,25.65,0,0,44.27,0,0,35.05,0,0,88.71,0,0
33.27,1,0.0381,77.12,0,-0.0244,136.78,1,0.0055,59,1,0.0043,17.41,0,-0.0371,102.49,1,0.0103,168.71,0,-0.0144,12.58,1,0.0286,78.35,1,0.0072,13.46,1,0.0197,723.67,1,0.0006,36.35,1,0.1289,40.37,0,-0.003,94.67,0,-0.0012,70.53,1,0.0001,145.55,0,-0.0037,58.48,0,-0.024,55.37,1,0.0067,158.52,0,-0.008,24.93,1,0.0306,51.99,0,-0.0468,25.32,0,-0.0129,44.06,0,-0.0047,34.76,0,-0.0083,88.55,0,-0.0018
33.07,0,-0.006,77.05,0,-0.0009,136.37,0,-0.003,59.61,1,0.0103,17.69,1,0.0161,102.16,0,-0.0032,169.61,1,0.0053,12.98,1,0.0318,79.37,1,0.013,13.57,1,0.0082,737.97,1,0.0198,37,1,0.0179,40.85,1,0.0119,95.37,1,0.0074,70.88,1,0.005,146.22,1,0.0046,58.28,0,-0.0034,55.69,1,0.0058,158.59,1,0.0004,25.85,1,0.0369,52.09,1,0.0019,25.81,1,0.0194,44.3,1,0.0054,34.94,1,0.0052,88.96,1,0.0046
33.34,1,0.0082,76.96,0,-0.0012,136.51,1,0.001,59.86,1,0.0042,17.45,0,-0.0136,101.37,0,-0.0077,168.98,0,-0.0037,12.99,1,0.0008,79.76,1,0.0049,13.43,0,-0.0103,734.75,0,-0.0044,36.57,0,-0.0116,40.79,0,-0.0015,95.49,1,0.0013,70.5492,0,-0.0047,145.95,0,-0.0018,57.7,0,-0.01,55.7204,1,0.0005,159.72,1,0.0071,25.67,0,-0.007,52.09,0,0,26.54,1,0.0283,44.69,1,0.0088,34.77,0,-0.0049,87.93,0,-0.0116
33.35,1,0.0003,77.27,1,0.004,136.09,0,-0.0031,60.2,1,0.0057,17.19,0,-0.0149,101.18,0,-0.0019,169.97,1,0.0059,12.98,0,-0.0008,79.57,0,-0.0024,13.35,0,-0.006,733.3,0,-0.002,38.35,1,0.0487,40.41,0,-0.0093,95.5,1,0.0001,71.3,1,0.0106,144.96,0,-0.0068,56.94,0,-0.0132,55.62,0,-0.0018,159.14,0,-0.0036,25.62,0,-0.0019,51.4,0,-0.0132,26.21,0,-0.0124,43.1,0,-0.0356,34.71,0,-0.0017,88.48,1,0.0063
33.57,1,0.0066,77.73,1,0.006,136.64,1,0.004,60.26,1,0.001,17.24,1,0.0029,101.23,1,0.0005,171.83,1,0.0109,13.11,1,0.01,79.09,0,-0.006,13.47,1,0.009,738.118,1,0.0066,39.95,1,0.0417,40.33,0,-0.002,96.41,1,0.0095,70.8,0,-0.007,145.49,1,0.0037,57.2,1,0.0046,54.63,0,-0.0178,159.92,1,0.0049,25.64,1,0.0008,52.37,1,0.0189,26.4,1,0.0072,43,0,-0.0023,34.71,0,0,88.14,0,-0.0038
33.85,1,0.0083,78.67,1,0.0121,137.09,1,0.0033,60.79,1,0.0088,17.12,0,-0.007,100.74,0,-0.0048,173.12,1,0.0075,13.3,1,0.0145,79.01,0,-0.001,13.83,1,0.0267,741.48,1,0.0046,39.24,0,-0.0178,40.01,0,-0.0079,96.89,1,0.005,71.49,1,0.0097,146.28,1,0.0054,57.29,1,0.0016,54.54,0,-0.0016,159.9,0,-0.0001,25.39,0,-0.0098,53.11,1,0.0141,26.65,1,0.0095,43.59,1,0.0137,35.4,1,0.0199,89.1,1,0.0109
33.37,0,-0.0142,78.78,1,0.0014,136.16,0,-0.0068,61.24,1,0.0074,17.07,0,-0.0029,100.28,0,-0.0046,173.35,1,0.0013,13.35,1,0.0038,80.4,1,0.0176,14,1,0.0123,739.99,0,-0.002,40.02,1,0.0199,40.11,1,0.0025,96.28,0,-0.0063,71.78,1,0.0041,147.05,1,0.0053,55.65,0,-0.0286,55.01,1,0.0086,159.98,1,0.0005,25.99,1,0.0236,52.82,0,-0.0055,26.59,0,-0.0023,43.3,0,-0.0067,35.1,0,-0.0085,89.61,1,0.0057
33.36,0,-0.0003,78.7,0,-0.001,136.81,1,0.0048,61.21,0,-0.0005,16.92,0,-0.0088,100.37,1,0.0009,174.01,1,0.0038,13.44,1,0.0067,81.41,1,0.0126,13.99,0,-0.0007,723.25,0,-0.0226,44.08,1,0.1014,40.83,1,0.018,97.08,1,0.0083,71.69,0,-0.0013,146.31,0,-0.005,55.81,1,0.0029,54.67,0,-0.0062,159.44,0,-0.0034,25.99,0,0,53.36,1,0.0102,26.27,0,-0.012,42.59,0,-0.0164,34.77,0,-0.0094,89.58,0,-0.0003
33.02,0,-0.0102,79.32,1,0.0079,138.37,1,0.0114,60.76,0,-0.0074,17,1,0.0047,101.15,1,0.0078,174.65,1,0.0037,13.63,1,0.0141,81.45,1,0.0005,14.3,1,0.0222,724.93,1,0.0023,46.19,1,0.0479,40.8,0,-0.0007,97.29,1,0.0022,71.88,1,0.0027,147.67,1,0.0093,56.03,1,0.0039,54.48,0,-0.0035,160.19,1,0.0047,25.96,0,-0.0012,53.62,1,0.0049,26.17,0,-0.0038,41.97,0,-0.0146,35.11,1,0.0098,89.53,0,-0.0006
