0,,1,2,,3,4,,5,6,,7,8,,9,10,,11,12,,13,14,,15,16,,17,18,,19,20,,21,22,,23,24,,25,26,,27,28,,29,30,,31,32,,33,34,,35,36,,37,38,,39,40,,41,42,,43,44,,45,46,,47,48,,49
78.16,0,0,92.01,0,0,25.91,0,0,65,0,0,35,0,0,75.06,0,0,59.17,0,0,31.65,0,0,61.13,0,0,13.98,0,0,38.34,0,0,106.65,0,0,75.1,0,0,61.01,0,0,29.13,0,0,93.27,0,0,10.47,0,0,26.67,0,0,19.62,0,0,37.35,0,0,32.97,0,0,4.5,0,0,3.55,0,0,70.52,0,0,69.24,0,0
78.47,1,0.004,96.59,1,0.0498,25.85,0,-0.0023,64.8,0,-0.0031,35.02,1,0.0006,74.95,0,-0.0015,57.64,0,-0.0259,31.59,0,-0.0019,61.4,1,0.0044,13.66,0,-0.0229,37.75,0,-0.0154,106.78,1,0.0012,73.6,0,-0.02,62.23,1,0.02,29.82,1,0.0237,93.55,1,0.003,10.72,1,0.0239,26.64,0,-0.0011,19.58,0,-0.002,37.4,1,0.0013,32.51,0,-0.014,4.6,1,0.0222,3.55,0,0,70.53,1,0.0001,68.8,0,-0.0064
79.84,1,0.0175,95.98,0,-0.0063,25.96,1,0.0043,65.37,1,0.0088,35.23,1,0.006,75.7245,1,0.0103,58.41,1,0.0134,32.01,1,0.0133,61.73,1,0.0054,14.73,1,0.0783,38.13,1,0.0101,107.47,1,0.0065,73.54,0,-0.0008,62.69,1,0.0074,29.86,1,0.0013,93.9,1,0.0037,10.88,1,0.0149,26.74,1,0.0038,20.19,1,0.0312,37.71,1,0.0083,33.2207,1,0.0219,4.66,1,0.013,3.5,0,-0.0141,70.88,1,0.005,69.06,1,0.0038
79.88,1,0.0005,99.2004,1,0.0336,25.98,1,0.0008,65.88,1,0.0078,35.39,1,0.0045,76.88,1,0.0153,59.14,1,0.0125,31.85,0,-0.005,61.56,0,-0.0028,14.84,1,0.0075,37.94,0,-0.005,108.26,1,0.0074,72.76,0,-0.0106,62,0,-0.011,29.66,0,-0.0067,94.22,1,0.0034,10.91,1,0.0028,26.66,0,-0.003,19.8,0,-0.0193,37.96,1,0.0066,32.92,0,-0.0091,4.6,0,-0.0129,3.44,0,-0.0171,70.5492,0,-0.0047,68.4,0,-0.0096
81.72,1,0.023,97.1563,0,-0.0206,26.02,1,0.0015,65.47,0,-0.0062,34.35,0,-0.0294,77.4,1,0.0068,59.74,1,0.0101,31.94,1,0.0028,61.68,1,0.0019,15.16,1,0.0216,38.14,1,0.0053,107.33,0,-0.0086,72.67,0,-0.0012,62.74,1,0.0119,29.37,0,-0.0098,92.96,0,-0.0134,11.03,1,0.011,26.68,1,0.0008,19.65,0,-0.0076,37.84,0,-0.0032,32.97,1,0.0015,4.53,0,-0.0152,3.37,0,-0.0203,71.3,1,0.0106,68.59,1,0.0028
82.11,1,0.0048,95.91,0,-0.0128,26.47,1,0.0173,67.73,1,0.0345,34.24,0,-0.0032,77.87,1,0.0061,59.6,0,-0.0023,31.65,0,-0.0091,61.49,0,-0.0031,15.13,0,-0.002,38.66,1,0.0136,107.56,1,0.0021,72.59,0,-0.0011,62.49,0,-0.004,29.97,1,0.0204,93.99,1,0.0111,11,0,-0.0027,27.05,1,0.0139,19.62,0,-0.0015,38.22,1,0.01,33.27,1,0.0091,4.6,1,0.0155,3.42,1,0.0148,70.8,0,-0.007,68.57,0,-0.0003
83.01,1,0.011,98,1,0.0218,26.76,1,0.011,67.54,0,-0.0028,34.37,1,0.0038,77.94,1,0.0009,60.61,1,0.0169,32.28,1,0.0199,61.99,1,0.0081,15.14,1,0.0007,38.62,0,-0.001,107.4,0,-0.0015,73.18,1,0.0081,63.8,1,0.021,30.44,1,0.0157,94.11,1,0.0013,11.07,1,0.0064,27.31,1,0.0096,20.34,1,0.0367,38.04,0,-0.0047,33.64,1,0.0111,4.62,1,0.0043,3.34,0,-0.0234,71.49,1,0.0097,68.36,0,-0.0031
83.08,1,0.0008,101.29,1,0.0336,26.52,0,-0.009,67.55,1,0.0001,34.27,0,-0.0029,78.08,1,0.0018,60.91,1,0.0049,32.15,0,-0.004,61.93,0,-0.001,14.78,0,-0.0238,38.09,0,-0.0137,107,0,-0.0037,72.78,0,-0.0055,64.13,1,0.0052,30.36,0,-0.0026,93.71,0,-0.0043,11.05,0,-0.0018,27.42,1,0.004,20.17,0,-0.0084,38.28,1,0.0063,33.5,0,-0.0042,4.52,0,-0.0216,3.4,1,0.018,71.78,1,0.0041,68.63,1,0.0039
82.67,0,-0.0049,103.445,1,0.0213,26.74,1,0.0083,67.56,1,0.0001,34.02,0,-0.0073,77.77,0,-0.004,61.2,1,0.0048,32.06,0,-0.0028,61.94,1,0.0002,14.67,0,-0.0074,38.16,1,0.0018,107.36,1,0.0034,72.94,1,0.0022,64.23,1,0.0016,30.33,0,-0.001,93.91,1,0.0021,11.02,0,-0.0027,27.48,1,0.0022,20.07,0,-0.005,38.3,1,0.0005,33.47,0,-0.0009,4.61,1,0.0199,3.4,0,0,71.69,0,-0.0013,68.3,0,-0.0048
82.49,0,-0.0022,101.69,0,-0.017,26.62,0,-0.0045,67.74,1,0.0027,33.76,0,-0.0076,77.36,0,-0.0053,61.34,1,0.0023,31.93,0,-0.0041,61.81,0,-0.0021,14.31,0,-0.0245,38.15,0,-0.0003,108.7,1,0.0125,73.21,1,0.0037,64.34,1,0.0017,30.6,1,0.0089,94.02,1,0.0012,11.08,1,0.0054,27.71,1,0.0084,20.43,1,0.0179,38.47,1,0.0044,33.28,0,-0.0057,4.57,0,-0.0087,3.36,0,-0.0118,71.88,1,0.0027,68.98,1,0.01
